place,lat,lng
Phong Nha,17.581370,106.283080
Hang Sơn Đoòng,17.444150,106.293580
Hang Va,17.489470,106.284800
Biển Nhật Lệ,17.492663,106.627266
Cồn cát Quang Phú,17.530200,106.621800
Vũng Chùa – Đảo Yến,17.929690,106.506600
Quảng Bình Quan,17.463340,106.624050
Tượng đài Mẹ Suốt,17.465460,106.627140
Đền thờ Liễu Hạnh,17.953538,106.468953
Biển Đá Nhảy,17.662778,106.513056
Mộ Đại Tướng Võ Nguyên Giáp, 17.924949, 106.494932
Thành cổ Đồng Hới, 17.468239, 106.622957
Mũi Trèo,17.089200,107.112300
Thánh địa La Vang,16.706700,107.195560
Sông Đakrông,16.657389,106.816497
"Núi Talung, núi Klu",16.657389,106.816497
Thành cổ Quảng Trị,16.753930,107.189540
Địa đạo Vịnh Mốc,17.074670,107.112800
Làng cổ Bích La,16.776850,107.185950
Đảo Cồn Cỏ,17.158390,107.339830
Chợ phiên Cam Lộ,16.816461,107.010006
Nghĩa trang Trường Sơn,16.958580,106.955010
Biển Cửa Việt,16.912938,107.186422
Chợ Đông Hà,16.824100,107.099200
Khe Sanh,16.653294,106.723994
Cửa khẩu Lao Bảo,16.622663,106.587632
Bản Vân Kiều,16.655800,106.813900
Đại Nội Huế,16.468970,107.578130
Lăng Cô,16.241000,108.078200
Lăng Tự Đức,16.432560,107.565810
Lăng Minh Mạng,16.387720,107.568250
Sông Hương,16.546740,107.625800
Chợ Đông Ba,16.472530,107.588660
Núi Ngự Bình,16.441800,107.596130
Đồi Vọng Cảnh,16.427070,107.562570
Làng nón Phú Cam,16.452630,107.587810
Làng hương Thủy Xuân,16.424200,107.558300
Nhà vườn An Hiên,16.454200,107.552240
Chùa Thiên Mụ,16.452420,107.545040
Đầm Chuồn,16.516259,107.643759
Vườn Quốc gia Bạch Mã,16.200000,107.866700
Cầu qua Phá Tam Giang,16.582190,107.588500
