place,province,lat,lng,beach,history,food,nature,adventure,culture,relax,photo,budget,family,crowd,best_months
phong nha,Quảng Bình,17.58137,106.28308,0.219,0.028,0.192,0.892,0.681,0.085,0.133,0.648,0.32633240045100004,1.0,0.875,mar-apr-may-jun-jul-aug
hang sơn đoòng,Quảng Bình,17.44415,106.29358,0.033,0.025,0.026,0.565,1.0,0.018,0.0,0.421,0.0,0.0,0.0,jan-feb-mar-apr-may-jun-jul-aug
hang va,Quảng Bình,17.48947,106.2848,0.031,0.0,0.019,0.574,0.92,0.003,0.077,0.253,0.11854882737322628,0.125,0.0,jan-feb-mar-apr-may-jun-jul-aug
biển nhật lệ,Quảng Bình,17.492663,106.627266,0.831,0.021,0.162,0.201,0.374,0.058,0.166,0.282,1.0,1.0,0.7499999999999999,apr-may-jun-jul-aug
cồn cát quang phú,Quảng Bình,17.5302,106.6218,0.598,0.006,0.031,0.149,0.277,0.005,0.057,0.573,1.0,0.7499999999999999,0.5,apr-may-jun-jul
vũng chùa - đảo yến,Quảng Bình,17.92969,106.5066,0.724,0.059,0.0,0.446,0.239,0.095,0.214,0.58,1.0,0.875,0.5,mar-apr-may-jun-jul-aug
quảng bình quan,Quảng Bình,17.46334,106.62405,0.03,0.145,0.125,0.082,0.075,0.149,0.144,0.63,1.0,1.0,0.37500000000000006,all-year
tượng đài mẹ suốt,Quảng Bình,17.46546,106.62714,0.079,0.145,0.106,0.061,0.07,0.119,0.163,0.362,1.0,1.0,0.37500000000000006,all-year
đền thờ liễu hạnh,Quảng Bình,17.953538,106.468953,0.157,0.027,0.046,0.233,0.175,0.431,0.391,0.464,1.0,0.875,0.24999999999999997,all-year
biển đá nhảy,Quảng Bình,17.662778,106.513056,0.501,0.006,0.036,0.239,0.196,0.071,0.121,1.0,1.0,0.7499999999999999,0.5,apr-may-jun-jul-aug
mộ đại tướng võ nguyên giáp,Quảng Bình,17.8346,106.368,0.059,0.941,0.081,0.89,0.023,0.936,1.0,0.549,1.0,0.875,0.7499999999999999,all-year
