place,province,beach,history,food,nature,adventure,culture,relax,photo,cave
Phong Nha,Quảng Bình,0.031155,0.017876,0.038871,0.125189,0.089767,0.029570,0.045368,0.047875,0.141310
Hang Sơn Đoòng,Quảng Bình,0.004692,0.017108,0.005232,0.080455,0.129699,0.012477,0.014835,0.036335,0.105042
Hang Va,Quảng Bình,0.004377,0.008801,0.003816,0.081634,0.119657,0.008660,0.032342,0.027778,0.124164
Biển Nhật Lệ,Quảng Bình,0.118058,0.015767,0.032803,0.030634,0.051254,0.022757,0.052807,0.029261,0.023212
Cồn cát Quang Phú,Quảng Bình,0.084969,0.010842,0.006294,0.023628,0.039058,0.009111,0.027925,0.044087,0.005457
Vũng Chùa - Đảo Yến,Quảng Bình,0.102837,0.028232,0.000000,0.064249,0.034283,0.032106,0.063823,0.044404,0.016032
Quảng Bình Quan,Quảng Bình,0.004327,0.056483,0.025393,0.014373,0.013715,0.045975,0.047773,0.046974,0.010108
Tượng đài Mẹ Suốt,Quảng Bình,0.011284,0.056509,0.021446,0.011468,0.013137,0.038353,0.052063,0.033319,0.007149
Đền thờ Liễu Hạnh,Quảng Bình,0.022314,0.017812,0.009285,0.035119,0.026252,0.118366,0.104293,0.038512,0.009431
Biển Đá Nhảy,Quảng Bình,0.071092,0.010917,0.007273,0.035881,0.028945,0.026006,0.042464,0.065801,0.025365
Mộ Đại Tướng Võ Nguyên Giáp ,Quảng Bình,0.008429,0.318868,0.016430,0.124969,0.007271,0.247624,0.243632,0.042864,0.016990
Thành cổ Đồng Hới ,Quảng Bình ,0.014270,0.338439,0.202424,0.102759,0.004517,0.264057,0.204368,0.035732,0.016606
Mũi Trèo,Quảng Trị,0.071741,0.011139,0.005383,0.036742,0.073423,0.017992,0.033743,0.042662,0.014670
Thánh địa La Vang,Quảng Trị,0.002564,0.042580,0.024209,0.012470,0.025074,0.118968,0.124262,0.048091,0.011493
Sông Đakrông,Quảng Trị,0.018076,0.028549,0.008907,0.050334,0.052521,0.045920,0.061161,0.035136,0.015675
"Núi Tà Lung, núi Klu",Quảng Trị,0.006550,0.026618,0.009995,0.072654,0.085738,0.066492,0.050934,0.017834,0.012410
Thành cổ Quảng Trị,Quảng Trị,0.000000,0.091912,0.009169,0.025254,0.013538,0.048140,0.044286,0.049342,0.005615
Địa đạo Vịnh Mốc,Quảng Trị,0.060608,0.035608,0.005960,0.031603,0.022497,0.028762,0.025164,0.020800,0.014202
Làng cổ Bích La,Quảng Trị,0.011107,0.029524,0.049974,0.027116,0.024058,0.113485,0.082183,0.028845,0.009471
Đảo Cồn Cỏ,Quảng Trị,0.114208,0.036056,0.019953,0.061693,0.039931,0.015616,0.021618,0.039794,0.007910
Chợ phiên Cam Lộ,Quảng Trị,0.003359,0.018197,0.066667,0.025740,0.021799,0.034743,0.033379,0.032269,0.015205
Nghĩa trang Trường Sơn,Quảng Trị,0.007678,0.100488,0.008274,0.031931,0.006284,0.056859,0.067118,0.030158,0.004811
Biển Cửa Việt,Quảng Trị,0.142028,0.023023,0.043617,0.027657,0.028230,0.022685,0.052014,0.041342,0.009696
Chợ Đông Hà,Quảng Trị,0.020891,0.026302,0.078976,0.018133,0.010447,0.037300,0.047126,0.035938,0.010909
Khe Sanh,Quảng Trị,0.004233,0.070470,0.006388,0.052590,0.040108,0.042141,0.030266,0.015009,0.008228
Cửa khẩu Lao Bảo,Quảng Trị,0.010123,0.021780,0.027173,0.035687,0.024226,0.026892,0.037908,0.035475,0.019529
Bản Vân Kiều,Quảng Trị,0.000821,0.035431,0.038742,0.028283,0.031714,0.098588,0.066007,0.022567,0.010795
Đại Nội Huế,Huế,0.017953,0.065879,0.036725,0.027493,0.005536,0.090250,0.072795,0.032163,0.008415
Lăng Cô,Huế,0.132140,0.027527,0.024188,0.038223,0.029949,0.018631,0.051187,0.033758,0.004341
Lăng Tự Đức,Huế,0.012797,0.093111,0.013105,0.052086,0.007499,0.085955,0.078851,0.035043,0.021125
Lăng Minh Mạng,Huế,0.013464,0.075854,0.001976,0.033762,0.022319,0.075501,0.086477,0.048306,0.010139
Sông Hương,Huế,0.039268,0.039751,0.037996,0.031028,0.011887,0.061453,0.055715,0.045009,0.023538
Chợ Đông Ba,Huế,0.007452,0.023062,0.093591,0.015196,0.010220,0.032828,0.051054,0.014908,0.019806
Núi Ngự Bình,Huế,0.004732,0.021171,0.012674,0.032361,0.025664,0.034016,0.061787,0.047881,0.007839
Đồi Vọng Cảnh,Huế,0.004902,0.035246,0.006385,0.031802,0.034182,0.007826,0.032942,0.037361,0.005619
Làng nón Phú Cam,Huế,0.007300,0.034633,0.027779,0.003188,0.011618,0.087875,0.072583,0.053002,0.003967
Làng hương Thủy Xuân,Huế,0.009030,0.025180,0.035746,0.023519,0.004356,0.117122,0.091045,0.058477,0.009519
Nhà Vườn An Hiên,Huế,0.011722,0.020980,0.022232,0.039187,0.016964,0.059770,0.060076,0.035562,0.012713
Chùa Thiên Mụ,Huế,0.022486,0.040688,0.016972,0.025584,0.016866,0.083391,0.081660,0.027266,0.019562
Đầm Chuồn,Huế,0.122513,0.022044,0.047263,0.060436,0.029108,0.042795,0.034688,0.047956,0.003218
Vườn Quốc gia Bạch Mã,Huế,0.026080,0.033113,0.007023,0.139946,0.045081,0.016149,0.041975,0.021262,0.019022
Cầu qua Phá Tam Giang,Huế,0.068545,0.017148,0.034918,0.051316,0.037936,0.049937,0.074916,0.036079,0.014512
