place,province,beach,history,food,nature,adventure,culture,relax,photo,cave
Phong Nha,Quảng Bình,0.219,0.028,0.192,0.892,0.681,0.085,0.133,0.648,1.000
Hang Sơn Đoòng,Quảng Bình,0.033,0.025,0.026,0.565,1.000,0.018,0.000,0.421,0.737
Hang Va,Quảng Bình,0.031,0.000,0.019,0.574,0.920,0.003,0.077,0.253,0.876
Biển Nhật Lệ,Quảng Bình,0.831,0.021,0.162,0.201,0.374,0.058,0.166,0.282,0.145
Cồn cát Quang Phú,Quảng Bình,0.598,0.006,0.031,0.149,0.277,0.005,0.057,0.573,0.016
Vũng Chùa - Đảo Yến,Quảng Bình,0.724,0.059,0.000,0.446,0.239,0.095,0.214,0.580,0.093
Quảng Bình Quan,Quảng Bình,0.030,0.145,0.125,0.082,0.075,0.149,0.144,0.630,0.050
Tượng đài Mẹ Suốt,Quảng Bình,0.079,0.145,0.106,0.061,0.070,0.119,0.163,0.362,0.028
Đền thờ Liễu Hạnh,Quảng Bình,0.157,0.027,0.046,0.233,0.175,0.431,0.391,0.464,0.045
Biển Đá Nhảy,Quảng Bình,0.501,0.006,0.036,0.239,0.196,0.071,0.121,1.000,0.160
Mộ Đại Tướng Võ Nguyên Giáp ,Quảng Bình,0.059,0.941,0.081,0.890,0.023,0.936,1.000,0.549,0.100
Thành cổ Đồng Hới ,Quảng Bình ,0.100,1.000,1.000,0.728,0.001,1.000,0.828,0.409,0.097
Mũi Trèo,Quảng Trị,0.505,0.007,0.027,0.245,0.551,0.040,0.083,0.545,0.083
Thánh địa La Vang,Quảng Trị,0.018,0.102,0.120,0.068,0.165,0.434,0.478,0.652,0.060
Sông Đakrông,Quảng Trị,0.127,0.060,0.044,0.345,0.384,0.149,0.202,0.397,0.090
"Núi Tà Lung, núi Klu",Quảng Trị,0.046,0.054,0.049,0.508,0.649,0.229,0.158,0.057,0.067
Thành cổ Quảng Trị,Quảng Trị,0.000,0.252,0.045,0.161,0.073,0.157,0.129,0.677,0.017
Địa đạo Vịnh Mốc,Quảng Trị,0.427,0.081,0.029,0.208,0.145,0.082,0.045,0.116,0.080
Làng cổ Bích La,Quảng Trị,0.078,0.063,0.247,0.175,0.157,0.412,0.294,0.274,0.045
Đảo Cồn Cỏ,Quảng Trị,0.804,0.083,0.099,0.428,0.284,0.030,0.030,0.489,0.034
Chợ phiên Cam Lộ,Quảng Trị,0.024,0.029,0.329,0.165,0.139,0.105,0.081,0.341,0.087
Nghĩa trang Trường Sơn,Quảng Trị,0.054,0.278,0.041,0.210,0.015,0.191,0.229,0.300,0.012
Biển Cửa Việt,Quảng Trị,1.000,0.043,0.215,0.179,0.190,0.058,0.162,0.519,0.047
Chợ Đông Hà,Quảng Trị,0.147,0.053,0.390,0.109,0.049,0.115,0.141,0.413,0.056
Khe Sanh,Quảng Trị,0.030,0.187,0.032,0.361,0.285,0.134,0.067,0.002,0.036
Cửa khẩu Lao Bảo,Quảng Trị,0.071,0.039,0.134,0.238,0.159,0.074,0.101,0.404,0.118
Bản Vân Kiều,Quảng Trị,0.006,0.081,0.191,0.184,0.218,0.354,0.224,0.150,0.055
Đại Nội Huế,Huế,0.126,0.173,0.181,0.178,0.009,0.322,0.253,0.339,0.038
Lăng Cô,Huế,0.930,0.057,0.119,0.256,0.204,0.042,0.159,0.370,0.008
Lăng Tự Đức,Huế,0.090,0.256,0.065,0.358,0.025,0.305,0.280,0.396,0.130
Lăng Minh Mạng,Huế,0.095,0.203,0.010,0.224,0.143,0.264,0.313,0.656,0.050
Sông Hương,Huế,0.276,0.094,0.188,0.204,0.060,0.209,0.179,0.591,0.147
Chợ Đông Ba,Huế,0.052,0.043,0.462,0.088,0.047,0.098,0.158,0.000,0.120
Núi Ngự Bình,Huế,0.033,0.038,0.063,0.213,0.170,0.102,0.205,0.648,0.033
Đồi Vọng Cảnh,Huế,0.035,0.080,0.032,0.209,0.238,0.000,0.079,0.441,0.017
Làng nón Phú Cam,Huế,0.051,0.078,0.137,0.000,0.058,0.312,0.252,0.749,0.005
Làng hương Thủy Xuân,Huế,0.064,0.050,0.177,0.149,0.000,0.427,0.333,0.856,0.046
Nhà Vườn An Hiên,Huế,0.083,0.037,0.110,0.263,0.101,0.203,0.198,0.406,0.069
Chùa Thiên Mụ,Huế,0.158,0.097,0.084,0.164,0.100,0.295,0.292,0.243,0.118
Đầm Chuồn,Huế,0.863,0.040,0.233,0.419,0.197,0.136,0.087,0.649,0.000
Vườn Quốc gia Bạch Mã,Huế,0.184,0.074,0.035,1.000,0.325,0.032,0.119,0.125,0.114
Cầu qua Phá Tam Giang,Huế,0.483,0.025,0.172,0.352,0.268,0.164,0.263,0.416,0.082
